전철역코드,전철역명,호선,외부코드
STATION_CD,STATION_NM,LINE_NUM,FR_CODE
0330,교대,3,340
0331,남부터미널,3,341
0332,양재,3,342
0333,매봉,3,343
0334,도곡,3,344
0335,대치,3,345
0336,학여울,3,346
0337,대청,3,347
0338,일원,3,348
0339,수서,3,349
0340,가락시장,3,350
0341,경찰병원,3,351
0342,오금,3,352
0409,당고개,4,409
0410,상계,4,410
0411,노원,4,411
0412,창동,4,412
0413,쌍문,4,413
0414,수유,4,414
0415,미아,4,415
0416,미아사거리,4,416
0417,길음,4,417
0418,성신여대입구,4,418
0419,한성대입구,4,419
0420,혜화,4,420
0421,동대문,4,421
0422,동대문역사문화공원,4,422
0423,충무로,4,423
0424,명동,4,424
0425,회현,4,425
0426,서울,4,426
0427,숙대입구,4,427
0428,삼각지,4,428
0429,신용산,4,429
0430,이촌,4,430
0431,동작,4,431
0432,총신대입구(이수),4,432
0433,사당,4,433
0434,남태령,4,434
1002,남영,1,134
1003,용산,1,135
1004,노량진,1,136
1005,대방,1,137
1006,영등포,1,139
1007,신도림,1,140
1008,이촌,J,K111
1009,서빙고,J,K112
1010,한남,J,K113
1011,옥수,J,K114
1012,응봉,J,K115
1013,왕십리,J,K116
1014,청량리,J,K117
1015,회기,1,123
1016,외대앞,1,122
1017,신이문,1,121
1018,석계,1,120
1019,광운대,1,119
1020,월계,1,118
1021,녹천,1,117
1022,창동,1,116
1023,선릉,B,K215
0150,서울,1,133
0151,시청,1,132
0152,종각,1,131
0153,종로3가,1,130
0154,종로5가,1,129
0155,동대문,1,128
0156,신설동,1,126
0157,제기동,1,125
0158,청량리,1,124
0159,동묘앞,1,127
0201,시청,2,201
0202,을지로입구,2,202
0203,을지로3가,2,203
0204,을지로4가,2,204
0205,동대문역사문화공원,2,205
0206,신당,2,206
0207,상왕십리,2,207
0208,왕십리,2,208
0209,한양대,2,209
0210,뚝섬,2,210
0211,성수,2,211
0212,건대입구,2,212
0213,구의,2,213
0214,강변,2,214
0215,잠실나루,2,215
0216,잠실,2,216
0217,신천,2,217
0218,종합운동장,2,218
0219,삼성,2,219
0220,선릉,2,220
0221,역삼,2,221
0222,강남,2,222
0223,교대,2,223
0224,서초,2,224
0225,방배,2,225
0226,사당,2,226
0227,낙성대,2,227
0228,서울대입구,2,228
0229,봉천,2,229
0230,신림,2,230
0231,신대방,2,231
0232,구로디지털단지,2,232
0233,대림,2,233
0234,신도림,2,234
0235,문래,2,235
0236,영등포구청,2,236
0237,당산,2,237
0238,합정,2,238
0239,홍대입구,2,239
0240,신촌,2,240
0241,이대,2,241
0242,아현,2,242
0243,충정로,2,243
0244,용답,2,211-1
0245,신답,2,211-2
0246,신설동,2,211-4
0247,도림천,2,234-1
0248,양천구청,2,234-2
0249,신정네거리,2,234-3
0250,용두,2,211-3
0260,까치산,2,234-4
0309,지축,3,319
0310,구파발,3,320
0311,연신내,3,321
0312,불광,3,322
0313,녹번,3,323
0314,홍제,3,324
0315,무악재,3,325
0316,독립문,3,326
0317,경복궁,3,327
0318,안국,3,328
0319,종로3가,3,329
0320,을지로3가,3,330
0321,충무로,3,331
0322,동대입구,3,332
0323,약수,3,333
0324,금호,3,334
0325,옥수,3,335
0326,압구정,3,336
0327,신사,3,337
0328,잠원,3,338
0329,고속터미널,3,339
1274,풍산,K,K325
1275,일산,K,K326
1276,탄현,K,K327
1278,운정,K,K329
1279,금릉,K,K330
1280,금촌,K,K331
1282,월롱,K,K333
1283,파주,K,K334
1284,문산,K,K335
1290,용산,J,K110
1291,서울(공항철도),A,A01
1292,공덕,A,A02
1293,홍대입구,A,A03
1294,디지털미디어시티,A,A04
1308,광운대,G,P119
1309,상봉,G,P120
1310,망우,G,P121
1311,신내,G,P122
1312,갈매,G,P123
1313,별내,G,P124
1314,퇴계원,G,P125
1315,사릉,G,P126
1316,금곡,G,P127
1317,평내호평,G,P128
1318,천마산,G,P129
1319,마석,G,P130
1320,대성리,G,P131
1321,청평,G,P132
1322,상천,G,P133
1323,가평,G,P134
1324,굴봉산,G,P135
1325,백양리,G,P136
1326,강촌,G,P137
1327,김유정,G,P138
1328,남춘천,G,P139
1329,춘천,G,P140
1401,봉명,1,P170
1402,쌍용(나사렛대),1,P171
1403,아산,1,P172
1404,탕정,1,P173
1405,배방,1,P174
1406,풍기,1,P175
1407,온양온천,1,P176
1408,신창,1,P177
1450,선바위,4,435
1951,원당,3,317
1952,화정,3,316
1953,대곡,3,315
1954,백석,3,314
1955,마두,3,313
1956,정발산,3,312
1957,주엽,3,311
1958,대화,3,310
2511,방화,5,510
2512,개화산,5,511
2513,김포공항,5,512
2514,송정,5,513
2515,마곡,5,514
2516,발산,5,515
2517,우장산,5,516
2518,화곡,5,517
2519,까치산,5,518
2520,신정,5,519
2521,목동,5,520
2522,오목교,5,521
2523,양평,5,522
2524,영등포구청,5,523
2525,영등포시장,5,524
2526,신길,5,525
2527,여의도,5,526
2528,여의나루,5,527
2529,마포,5,528
2530,공덕,5,529
2531,애오개,5,530
2532,충정로,5,531
2533,서대문,5,532
2534,광화문,5,533
2535,종로3가,5,534
2536,을지로4가,5,535
2537,동대문역사문화공원,5,536
2620,월드컵경기장,6,619
2621,마포구청,6,620
2622,망원,6,621
2623,합정,6,622
2624,상수,6,623
2625,광흥창,6,624
2626,대흥,6,625
2627,공덕,6,626
2628,효창공원앞,6,627
2629,삼각지,6,628
2630,녹사평,6,629
2631,이태원,6,630
2632,한강진,6,631
2633,버티고개,6,632
2634,약수,6,633
2635,청구,6,634
2636,신당,6,635
2637,동묘앞,6,636
2638,창신,6,637
2639,보문,6,638
2640,안암,6,639
2641,고려대,6,640
2642,월곡,6,641
2643,상월곡,6,642
2644,돌곶이,6,643
2645,석계,6,644
2646,태릉입구,6,645
2647,화랑대,6,646
2648,봉화산,6,647
2711,장암,7,709
2712,도봉산,7,710
2713,수락산,7,711
2714,마들,7,712
2538,청구,5,537
2539,신금호,5,538
2540,행당,5,539
2541,왕십리,5,540
2542,마장,5,541
2543,답십리,5,542
2544,장한평,5,543
2545,군자,5,544
2546,아차산,5,545
2547,광나루,5,546
2548,천호,5,547
2549,강동,5,548
2550,길동,5,549
2551,굽은다리,5,550
2552,명일,5,551
2553,고덕,5,552
2554,상일동,5,553
2555,둔촌동,5,P549
2556,올림픽공원,5,P550
2557,방이,5,P551
2558,오금,5,P552
2559,개롱,5,P553
2560,거여,5,P554
2561,마천,5,P555
2611,응암,6,610
2612,역촌,6,611
2613,불광,6,612
2614,독바위,6,613
2615,연신내,6,614
2616,구산,6,615
2617,새절,6,616
2618,증산,6,617
2619,디지털미디어시티,6,618
1451,경마공원,4,436
1452,대공원,4,437
1453,과천,4,438
1454,정부과천청사,4,439
1455,인덕원,4,440
1456,평촌,4,441
1457,범계,4,442
1458,금정,4,443
1701,구로,1,141
1702,가산디지털단지,1,P142
1703,금천구청,1,P144
1704,석수,1,P145
1705,관악,1,P146
1706,안양,1,P147
1707,명학,1,P148
1708,금정,1,P149
1709,군포,1,P150
1710,의왕,1,P152
1711,성균관대,1,P153
1712,화서,1,P154
1713,수원,1,P155
1714,독산,1,P143
1715,세류,1,P156
1716,병점,1,P157
1717,세마,1,P158
1718,오산대,1,P159
1719,오산,1,P160
1720,진위,1,P161
1721,송탄,1,P162
1722,서정리,1,P163
1723,지제,1,P164
1724,평택,1,P165
1725,성환,1,P166
1726,직산,1,P167
1727,두정,1,P168
1728,천안,1,P169
1729,당정,1,P151
1749,서동탄,1,P157-1
1750,광명,1,K410
1751,산본,4,444
1752,대야미,4,446
1753,반월,4,447
1754,상록수,4,448
1755,한대앞,4,449
1756,중앙,4,450
1757,고잔,4,451
1758,초지,4,452
1759,안산,4,453
1760,신길온천,4,454
1761,정왕,4,455
1762,오이도,4,456
1763,수리산,4,445
1801,개봉,1,143
1802,오류동,1,144
1803,역곡,1,146
1804,부천,1,148
1805,송내,1,150
1806,부평,1,152
1807,백운,1,153
1808,동암,1,154
1809,주안,1,156
1810,제물포,1,158
1811,동인천,1,160
1812,인천,1,161
1813,구일,1,142
1814,소사,1,147
1815,부개,1,151
1816,간석,1,155
1817,도원,1,159
1821,온수,1,145
1822,중동,1,149
1823,도화,1,157
1845,왕십리,B,K210
1846,수원,B,K245
1847,서울숲,B,K211
1848,압구정로데오,B,K212
1849,강남구청,B,K213
1850,선정릉,B,K214
1851,가천대,B,K223
1852,태평,B,K224
1853,모란,B,K225
1854,야탑,B,K226
1855,서현,B,K228
1856,수내,B,K229
1857,정자,B,K230
1858,미금,B,K231
1859,오리,B,K232
1860,이매,B,K227
1861,보정,B,K234
1862,죽전,B,K233
1863,구성,B,K235
1864,신갈,B,K236
1865,기흥,B,K237
1866,상갈,B,K238
1867,청명,B,K239
1868,영통,B,K240
1869,망포,B,K241
1870,매탄권선,B,K242
1871,수원시청,B,K243
1872,매교,B,K244
1878,오이도,SU,K251
1879,월곶,SU,K252
1880,소래포구,SU,K253
1881,인천논현,SU,K254
1882,호구포,SU,K255
1883,남동인더스파크,SU,K256
1884,원인재,SU,K257
1885,연수,SU,K258
1886,송도,SU,K259
1901,방학,1,115
1902,도봉,1,114
1903,도봉산,1,113
1904,망월사,1,112
1905,회룡,1,111
1906,의정부,1,110
1907,가능,1,109
1908,녹양,1,108
1909,양주,1,107
1910,덕계,1,106
1911,덕정,1,105
1912,지행,1,104
1913,동두천중앙,1,103
1914,보산,1,102
1915,동두천,1,101
1916,소요산,1,100
1917,마전(무정차),1,759
1950,삼송,3,318
1024,한티,B,k216
1025,도곡,B,K217
1026,구룡,B,k218
1027,개포동,B,k219
1028,대모산입구,B,k220
1030,수서,B,K221
1031,복정,B,K222
1032,신길,1,138
1200,회기,J,K118
1201,중랑,J,K119
1202,상봉,J,K120
1203,망우,J,K121
1204,양원,J,K122
1205,구리,J,K123
1206,도농,J,K124
1207,양정,J,K125
1208,덕소,J,K126
1209,도심,J,K127
1210,팔당,J,K128
1211,운길산,J,K129
1212,양수,J,K130
1213,신원,J,K131
1214,국수,J,K132
1215,아신,J,K133
1216,오빈,J,K134
1217,양평(중앙선),J,K135
1218,원덕,J,K136
1219,용문,J,K137
1249,대곡,K,K322
1251,서울(경의선),K,P313
1252,신촌(경의선),K,P312
1262,공덕,K,K312
1263,서강대,K,K313
1264,홍대입구,K,K314
1265,가좌,K,K315
1266,디지털미디어시티,K,K316
1267,수색,K,K317
1268,화전,K,K318
1270,행신,K,K320
1271,능곡,K,K321
1272,곡산,K,K323
1273,백마,K,K324
4210,청라국제도시,A,A071
2715,노원,7,713
2716,중계,7,714
2717,하계,7,715
2718,공릉,7,716
2719,태릉입구,7,717
2720,먹골,7,718
2721,중화,7,719
2722,상봉,7,720
2723,면목,7,721
2724,사가정,7,722
2725,용마산,7,723
2726,중곡,7,724
2727,군자,7,725
2728,어린이대공원,7,726
2729,건대입구,7,727
2730,뚝섬유원지,7,728
2731,청담,7,729
2732,강남구청,7,730
2733,학동,7,731
2734,논현,7,732
2735,반포,7,733
2736,고속터미널,7,734
2737,내방,7,735
2738,총신대입구(이수),7,736
2739,남성,7,737
2740,숭실대입구,7,738
2741,상도,7,739
2742,장승배기,7,740
2743,신대방삼거리,7,741
2744,보라매,7,742
2745,신풍,7,743
2746,대림,7,744
2747,남구로,7,745
2748,가산디지털단지,7,746
2749,철산,7,747
2750,광명사거리,7,748
2751,천왕,7,749
2752,온수,7,750
2753,까치울,7,751
2754,부천종합운동장,7,752
2755,춘의,7,753
2756,신중동,7,754
2757,부천시청,7,755
2758,상동,7,756
2759,삼산체육관,7,757
2760,굴포천,7,758
2761,부평구청,7,759
2811,암사,8,810
2812,천호,8,811
2813,강동구청,8,812
2814,몽촌토성,8,813
2815,잠실,8,814
2816,석촌,8,815
2817,송파,8,816
2818,가락시장,8,817
2819,문정,8,818
2820,장지,8,819
2821,복정,8,820
2822,산성,8,821
2823,남한산성입구,8,822
2824,단대오거리,8,823
2825,신흥,8,824
2826,수진,8,825
2827,모란,8,826
3110,계양,I,I110
3111,귤현,I,I111
3112,박촌,I,I112
3113,임학,I,I113
3114,계산,I,I114
3115,경인교대입구,I,I115
3116,작전,I,I116
3117,갈산,I,I117
3118,부평구청,I,I118
3119,부평시장,I,I119
3120,부평,I,I120
3121,동수,I,I121
3122,부평삼거리,I,I122
3123,간석오거리,I,I123
3124,인천시청,I,I124
3125,예술회관,I,I125
3126,인천터미널,I,I126
3127,문학경기장,I,I127
3128,선학,I,I128
3129,신연수,I,I129
3130,원인재,I,I130
3131,동춘,I,I131
3132,동막,I,I132
3133,캠퍼스타운,I,I133
3134,테크노파크,I,I134
3135,지식정보단지,I,I135
3136,인천대입구,I,I136
3137,센트럴파크,I,I137
3138,국제업무지구,I,I138
4101,개화,9,901
4102,김포공항,9,902
4103,공항시장,9,903
4104,신방화,9,904
4105,마곡나루,9,905
4106,양천향교,9,906
4107,가양,9,907
4108,증미,9,908
4109,등촌,9,909
4110,염창,9,910
4111,신목동,9,911
4112,선유도,9,912
4113,당산,9,913
4114,국회의사당,9,914
4115,여의도,9,915
4116,샛강,9,916
4117,노량진(9호선),9,917
4118,노들,9,918
4119,흑석,9,919
4120,동작,9,920
4121,구반포,9,921
4122,신반포,9,922
4123,고속터미널,9,923
4124,사평,9,924
4125,신논현,9,925
4207,김포공항,A,A05
4208,계양,A,A06
4209,검암,A,A07
4211,운서,A,A08
4212,공항화물청사,A,A09
4213,인천국제공항,A,A10
4307,강남,S,D7
4308,양재,S,D8
4309,양재시민의숲,S,D9
4310,청계산입구,S,D10
4311,판교,S,D11
4312,정자,S,D12